Freq,size,media,max_fft,min_freq,max_freq,Freq-min,max-Freq,OK
329.632,8,669,18462,322,335,7,6,1
293.664,8,1371,17679,287,300,6,7,1
311.12,7,405,13776,306,318,4,7,1
349.232,6,2557,12276,341,353,7,4,1
277.184,2,242,302,275,277,1,0,0
392.0,1,205,205,384,384,7,-7,0
370.0,4,114,147,363,371,6,1,0
349.232,6,3622,17719,343,353,5,4,1
293.664,7,860,14434,289,300,4,7,1
311.12,8,1165,9302,304,318,6,7,1
329.632,7,1176,6188,322,337,7,8,1
370.0,3,202,252,361,369,8,0,0
277.184,6,115,182,271,283,5,6,0
233.08,1,135,135,238,238,-5,5,0
311.12,8,1203,19178,302,316,8,5,1
329.632,8,1072,18605,324,337,5,8,1
349.232,9,474,2587,339,357,9,8,1
293.664,7,742,1954,287,298,6,5,1
277.184,5,218,275,269,281,7,4,0
370.0,5,169,197,363,371,6,1,0
392.0,4,118,191,382,402,9,10,0
349.232,7,1610,19940,341,355,7,6,1
293.664,6,3889,16764,289,300,4,7,1
329.632,7,1235,8661,322,333,7,4,1
311.12,7,231,1536,304,318,6,7,1
370.0,4,187,351,363,371,6,1,0
277.184,5,137,289,269,279,7,2,0
246.944,1,84,84,251,251,-5,5,0
311.12,6,4443,19522,304,316,6,5,1
293.664,6,3856,17001,289,300,4,7,1
329.632,7,1834,16633,326,337,3,8,1
349.232,8,627,8482,341,355,7,6,1
277.184,5,137,465,273,283,3,6,0
349.232,8,895,15353,339,357,9,8,1
329.632,9,225,10892,322,337,7,8,1
311.12,9,556,7590,302,318,8,7,1
293.664,8,449,2976,287,300,6,7,1
246.944,3,97,135,240,251,6,5,0
349.232,7,580,15219,341,353,7,4,1
311.12,7,573,14970,306,318,4,7,1
329.632,7,939,13952,324,335,5,6,1
293.664,7,550,13384,289,300,4,7,1
277.184,3,451,639,273,277,3,0,0
246.944,1,158,158,240,240,6,-6,0
293.664,8,1379,19102,287,300,6,7,1
311.12,8,971,14911,304,318,6,7,1
329.632,7,333,12600,322,333,7,4,1
349.232,7,513,5910,343,355,5,6,1
277.184,4,368,510,271,277,5,0,0
392.0,4,224,311,382,388,9,-3,0
233.08,2,185,216,236,238,-3,5,0
370.0,3,167,208,363,367,6,-2,0
415.312,2,143,150,421,423,-6,8,0
246.944,1,146,146,240,240,6,-6,0
196.0,2,105,123,199,201,-3,5,0
466.16,1,103,103,458,458,7,-7,0
207.656,1,89,89,203,203,4,-4,0
220.0,1,82,82,216,216,3,-3,0
92.5,1,81,81,91,91,0,0,0
349.232,8,559,17154,343,357,5,8,1
329.632,8,454,12361,324,337,5,8,1
311.12,7,338,7988,302,314,8,3,1
293.664,7,586,6256,289,300,4,7,1
277.184,3,459,472,271,275,5,-1,0
370.0,3,158,284,365,369,4,0,0
311.12,8,845,19813,304,318,6,7,1
329.632,9,637,14613,322,337,7,8,1
293.664,7,981,10101,287,298,6,5,1
349.232,7,424,4944,343,355,5,6,1
370.0,5,123,247,363,371,6,1,0
277.184,3,132,237,271,277,5,0,0
246.944,1,96,96,240,240,6,-6,0
293.664,6,2308,16917,289,300,4,7,1
349.232,9,370,16039,341,357,7,8,1
329.632,9,519,12315,322,337,7,8,1
311.12,7,323,1467,302,318,8,7,1
311.12,8,3273,48036,302,318,8,7,1
329.632,9,1959,39566,322,337,7,8,1
349.232,9,1616,35419,339,357,9,8,1
293.664,7,2380,31038,287,300,6,7,1
277.184,8,266,683,269,283,7,6,0
329.632,7,252,26255,322,333,7,4,1
349.232,9,253,22735,339,357,9,8,1
311.12,6,4639,20440,308,318,2,7,1
293.664,7,894,12093,287,298,6,5,1
370.0,3,221,272,365,369,4,0,0
277.184,3,190,265,273,279,3,2,0
392.0,2,154,217,384,388,7,-3,0
349.232,8,1127,20937,339,355,9,6,1
293.664,7,3040,20404,287,300,6,7,1
329.632,7,1528,18766,326,337,3,8,1
